Line id,Arabic text,Translation
,وَأَشْهَدُ أَنَّكَ وَفَيْتَ بِعَهْدِ اللَّهِ تَعَالَىٰ,And I bear witness that you fulfilled the covenant of Allah the Exalted
,وَأَنَّ اللَّهَ تَعَالَى مُوفٍ لَكَ بِعَهْدِهِ,And that Allah the Exalted will fulfill His covenant with you
,وَمَنْ أَوْفَىٰ بِمَا عَاهَدَ عَلَيْهُ اللَّهَ فَسَيُؤْتِيهِ أَجْرًا عَظِيمًا,"And whoever fulfills what he has covenanted with Allah, He will grant him a great reward"
,وَأَشْهَدُ أَنَّكَ أَمِيرُ الْمُؤْمِنِيْنَ الْحَقُّ,And I bear witness that you are the true Commander of the Faithful
,اَلَّذِيْ نَطَقَ بِوِلَايَتِكَ التَّنْزِيلُ,About whose guardianship the revelation spoke
,وَأَخَذَ لَكَ الْعَهْدَ عَلَى الْأُمَّةِ بِذٰلِكَ الرَّسُوْلُ,And for whom the Messenger secured the covenant from the community
,وَأَشْهَدُ أَنَّكَ وَعَمَّكَ وَأَخَاكَ,And I bear witness that you and your uncle and your brother
,اَلَّذِيْنَ تَاجَرْتُمُ اللَّهَ بِنُفُوسِكُمْ,Are those who bartered with Allah your own souls
,فَأَنْزَلَ اللَّهُ فِيكُمْ,So Allah revealed concerning you
,إِنَّ اللَّهَ اشْتَرَىٰ مِنَ الْمُؤْمِنِيْنَ أَنْفُسَهُمْ وَأَمْوَالَهُمْ,"""Indeed, Allah has purchased from the believers their lives and their properties"
,بِأَنَّ لَهُمُ الْجَنَّةَ,In exchange for Paradise
,يُقَاتِلُونَ فِيْ سَبِيلِ اللَّهِ فَيَقْتُلُونَ وَيُقْتَلُونَ,"They fight in the cause of Allah, so they kill and are killed"
,وَعْدًا عَلَيْهِ حَقًّا فِيْ التَّوْرَاةِ وَالْاِنْجِيلِ وَالْقُرْآنِ,As a promise binding upon Him in the Torah and the Gospel and the Quran
,وَمَنْ أَوْفَىٰ بِعَهْدِهِ مِنَ اللَّهِ,And who is more faithful to his covenant than Allah?
,فَاسْتَبْشِرُوْا بِبَيْعِكُمُ الَّذِيْ بَايَعْتُمْ بِهِ,So rejoice in your transaction which you have concluded
,وَذٰلِكَ هُوَ الْفَوْزُ الْعَظِيمُ,And that is the great attainment
,اَلتَّائِبُونَ الْعَابِدُونَ,"The repentant, the worshippers"
,اَلْحَامِدُوْنَ السَّائِحُونَ,"The praisers, the travelers"
,اَلرَّاكِعُونَ السَّاجِدُونَ,"Those who bow, those who prostrate"
,اَلْآمِرُونَ بِالْمَعْرُوفِ وَالنَّاهُونَ عَنِ الْمُنْكَرِ,Those who enjoin what is right and forbid what is wrong
,وَالْحَافِظُونَ لِحُدُودِ اللَّهِ وَبَشِّرِ الْمُؤْمِنِيْنَ,"And those who observe the limits of Allah. And give good tidings to the believers"""
,أَشْهَدُ يَا أَمِيرَ الْمُؤْمِنِيْنَ,"I bear witness, O Commander of the Faithful"
,أَنَّ الشَّاكَّ فِيكَ مَا آمَنَ بِالرَّسُولِ الْاَمِينِ,That whoever doubts you has not believed in the Trustworthy Messenger
,وَأَنَّ الْعَادِلَ بِكَ غَيْرَكَ عَانِدٌ عَنِ الدِّينِ الْقَوِيمِ,And whoever equates others with you has deviated from the straight religion
,اَلَّذِيْ ارْتَضَاهُ لَنَا رَبُّ الْعَالَمِيْنَ,Which the Lord of the Worlds has chosen for us
,وَأَكْمَلَهُ بِوِلَايَتِكَ يَوْمَ الْغَدِيرِ,And perfected through your guardianship on the day of Ghadeer
,وَأَشْهَدُ أَنَّكَ الْمَعْنِيُّ بِقَوْلِ الْعَزِيزِ الرَّحِيمِ,"And I bear witness that you are the one intended by the words of the Mighty, the Merciful"
,وَأَنَّ هٰذَا صِرَاطِيْ مُسْتَقِيمًا فَاتِّبِعُوهُ,"""And this is My path, straight, so follow it"
,وَلَا تَتَّبِعُوْا السُّبُلَ فَتَفَرَّقَ بِكُمْ عَنْ سَبِيلِهِ,"And do not follow other ways, for they will separate you from His way"""
,ضَلَّ وَاللَّهِ وَأَضَلَّ مَنِ اتَّبَعَ سِوَاكَ,"By Allah, those who follow other than you have gone astray and misled others"
,وَعَنَدَ عَنِ الْحَقِّ مَنْ عَادَاكَ,And those who oppose you have deviated from the truth
,اَللَّهُمَّ سَمِعْنَا لِأَمْرِكَ,"O Allah, we have heard Your command"
,وَأَطَعْنَا وَاتَّبَعْنَا صِرَاطَكَ الْمُسْتَقِيمَ,And we obey and follow Your straight path
,فَاهْدِنَا رَبَّنَا,"So guide us, our Lord"
,وَلَا تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا إِلَى طَاعَتِكَ,And do not let our hearts deviate after You have guided us to obey You
,وَاجْعَلْنَا مِنَ الشَّاكِرِيْنَ لِأَنْعُمِكَ,And make us among those who are grateful for Your blessings
,وَأَشْهَدُ أَنَّكَ لَمْ تَزَلْ لِلْهَوَى مُخَالِفًا,And I bear witness that you have always opposed desires
,وَلِلتُّقَى مُحَالِفًا,And allied yourself with piety
,وَعَلَى كَظْمِ الْغَيْظِ قَادِرًا,Able to suppress anger
,وَعَنِ النَّاسِ عَافِيًا غَافِرًا,Pardoning and forgiving people
,وَإِذَا عُصِيَ اللَّهُ سَاخِطًا,Displeased when Allah is disobeyed
,وَإِذَا أُطِيعَ اللَّهُ رَاضِيًا,And pleased when Allah is obeyed
,وَبِمَا عَهِدَ إِلَيْكَ عَامِلًا,Acting according to what was entrusted to you
,رَاعِيًا لِمَا اسْتُحْفِظْتَ,Guarding what you were asked to preserve
,حَافِظًا لِمَا اسْتُودِعْتَ,Protecting what was entrusted to you
,مُبَلِّغًا مَا حُمِّلْتَ,Conveying what you were charged with
,مُنْتَظِرًا مَا وُعِدْتَ,Awaiting what you were promised
,وَأَشْهَدُ أَنَّكَ مَا اتَّقَيْتَ ضَارِعًا,And I bear witness that you never retreated out of fear
,وَلَا أَمْسَكْتَ عَنْ حَقِّكَ جَازِعًا,Nor held back from claiming your right out of anxiety
,وَلَا أَحْجَمْتَ عَنْ مُجَاهَدَةِ غَاصِبِيكَ نَاكِلًا,Nor refrained from fighting those who usurped your rights out of cowardice
,وَلَا أَظْهَرْتَ الرِّضَا بِخِلاَفِ مَا يُرْضِيْ اللَّهَ مُدَاهِنًا,Nor showed contentment with what displeases Allah out of hypocrisy
,وَلَا وَهَنْتَ لِمَا أَصَابَكَ فِيْ سَبِيلِ اللَّهِ,Nor weakened when you were afflicted in the way of Allah
,وَلَا ضَعُفْتَ وَلَا اسْتَكَنْتَ عَنْ طَلَبِ حَقِّكَ مُرَاقِبًا,Nor did you grow feeble or submissive in seeking your right out of apprehension
,مَعَاذَ اللَّهِ أَنْ تَكُونَ كَذٰلِكَ,Allah forbid that you should be like that
,بَلْ إِذْ ظُلِمْتَ احْتَسَبْتَ رَبَّكَ,"Rather, when you were wronged, you sought reward from your Lord"
,وَفَوَّضْتَ إِلَيْهِ أَمْرَكَ,And entrusted your affair to Him
,وَذَكَّرْتَهُمْ فَمَا ادَّكَرُوْا,"And you reminded them, but they did not remember"
,وَوَعَظْتَهُمْ فَمَا اتَّعَظُوَا,"And you admonished them, but they did not heed"
,وَخَوَّفْتَهُمُ اللَّهَ فَمَا تَخَوَّفُوَا,"And you warned them of Allah, but they did not fear"
,وَأَشْهَدُ أَنَّكَ يَا أَمِيرَ الْمُؤْمِنِيْنَ,"And I bear witness that you, O Commander of the Faithful"
,جَاهَدْتَ فِيْ اللَّهِ حَقَّ جِهَادِهِ,Strived in the way of Allah with true striving
,حَتَّىٰ دَعَاكَ اللَّهُ إِلَى جِوَارِهِ,Until Allah called you to His presence
,وَقَبَضَكَ إِلَيْهِ بِاخْتِيَارِهِ,And took you to Himself by His choice
,وَأَلزَمَ أَعْدَاءَكَ الْحُجَّةَ بِقَتْلِهِمْ إِيَّاكَ,And made your enemies bear the argument against themselves by killing you
,لِتَكُونَ الْحُجَّةُ لَكَ عَلَيْهِمْ,So that the proof might be established against them
,مَعَ مَا لَكَ مِنَ الْحُجَجِ الْبَالِغَةِ عَلَى جَمِيْعِ خَلْقِهِ,Along with the conclusive proofs you already had over all His creation
,اَلسَّلاَمُ عَلَيْكَ يَا أَمِيرَ الْمُؤْمِنِيْنَ,"Peace be upon you, O Commander of the Faithful"
,عَبَدْتَ اللَّهَ مُخْلِصًا,You worshipped Allah sincerely
,وَجَاهَدْتَ فِيْ اللَّهِ صَابِرًا,And strived in the way of Allah patiently
,وَجُدْتَ بِنَفْسِكَ مُحْتَسِبًا,And sacrificed yourself seeking reward
,وَعَمِلْتَ بِكِتَابِهِ,And acted according to His Book
,وَاتَّبَعْتَ سُنَّةَ نَبِيِّهِ,And followed the Sunnah of His Prophet
,وَأَقَمْتَ الصَّلاةَ,And established prayer
,وَ آتَيْتَ الزَّكَاةَ,And gave the zakat
,وَأَمَرْتَ بِالْمَعْرُوفِ,And enjoined what is right
,وَنَهَيْتَ عَنِ الْمُنْكَرِ مَا اسْتَطَعْتَ,And forbade what is wrong to the best of your ability
,مُبْتَغِيًا مَا عِنْدَ اللَّهِ,Seeking what is with Allah
,رَاغِبًا فِيْ مَا وَعَدَ اللَّهُ,Desiring what Allah has promised
,لَا تَحْفِلُ بِالنَّوَائِبِ,Not deterred by calamities
,وَلَا تَهِنُ عِنْدَ الشَّدَائِدِ,Not weakened by hardships
,وَلَا تَحْجِمُ عَنْ مُحَارِبٍ,Not holding back from any battle
,أَفِكَ مَنْ نَسَبَ غَيْرَ ذٰلِكَ إِلَيْكَ,Those who attribute otherwise to you are liars
,وَافْتَرَىٰ بَاطِلًا عَلَيْكَ,And have fabricated falsehood against you
,وَأَوْلَى لِمَنْ عَنَدَ عَنْكَ,And woe to those who turned away from you
,لَقَدْ جَاهَدْتَ فِيْ اللَّهِ حَقَّ الْجِهَادِ,"Indeed, you strived in the way of Allah with true striving"
,وَصَبَرْتَ عَلَى الْاَذَىٰ صَبْرَ احْتِسَابٍ,And endured harm with patient endurance seeking reward
,وَأَنْتَ أَوَّلُ مَنْ آمَنَ بِاللَّهِ,And you were the first to believe in Allah
,وَصَلَّى لَهُ وَجَاهَدَ,And pray to Him and strive for Him
,وَأَبْدَىٰ صَفْحَتَهُ فِيْ دَارِ الشِّرْكِ,And you showed your face openly in the abode of polytheism
,وَالْاَرْضُ مَشْحُونَةٌ ضَلالَةً,When the earth was filled with misguidance
,وَالشَّيْطَانُ يُعْبَدُ جَهْرَةً,And Satan was worshipped openly
,وَأَنْتَ الْقَائِلُ لَا تَزِيدُنِيْ كَثْرَةُ النَّاسِ حَوْلِيْ عِزَّةً,"And you are the one who said: ""The multitude of people around me does not increase my honor"
,وَلَا تَفَرُّقُهُمْ عَنِّيْ وَحْشَةً,Nor does their dispersal from me cause me loneliness
,وَلَوْ أَسْلَمَنِيَ النَّاسُ جَمِيعًا لَمْ أَكُنْ مُتَضَرِّعًا,"And if all people abandoned me, I would not be humbled"""
,إِعْتَصَمْتَ بِاللَّهِ فَعَزَزْتَ,You sought protection in Allah and were strengthened
,وَآثَرْتَ الْآخِرَةَ عَلَى الْأُوْلَى فَزَهِدْتَ,"And you preferred the Hereafter over this world, so you lived ascetically"
,وَأَيَّدَكَ اللَّهُ وَهَدَاكَ,And Allah supported you and guided you
,وَأَخْلَصَكَ وَاجْتَبَاكَ,And purified you and chose you
,فَمَا تَنَاقَضَتْ أَفْعَالُكَ,Your actions were never contradictory
,وَلَا اخْتَلَفَتْ أَقْوَالُكَ,Nor were your words inconsistent
,وَلَا تَقَلَّبَتْ أَحْوَالُكَ,Nor did your conditions change
,وَلَا ادَّعَيْتَ وَلَا افْتَرَيْتَ عَلَى اللَّهِ كَذِبًا,You never made false claims nor fabricated lies against Allah
,وَلَا شَرِهْتَ إِلَى الْحُطَامِ,Nor were you greedy for worldly gains
,وَلَا دَنَّسَكَ الْآثَامُ,Nor were you defiled by sins
,وَلَمْ تَزَلْ عَلَى بَيِّنَةٍ مِنْ رَبِّكَ,You were always upon clear evidence from your Lord
,وَيَقِينٍ مِنْ أَمْرِكَ,And certainty in your affairs
,تَهْدِيْ إِلَى الْحَقِّ وَإِلَى صِرَاطٍ مُسْتَقِيمٍ,Guiding to the truth and to a straight path
,أَشْهَدُ شَهَادَةَ حَقٍّ,I bear witness with a true testimony
,وَأُقْسِمُ بِاللَّهِ قَسَمَ صِدْقٍ,And I swear by Allah a truthful oath
,أَنَّ مُحَمَّدًا وَ آلَهُ صَلَوَاتُ اللَّهِ عَلَيْهِمْ سَادَاتُ الْخَلْقِ,"That Muhammad and his family, may Allah's blessings be upon them, are the masters of creation"
,وَأَنَّكَ مَوْلَايَ وَمَوْلَى الْمُؤْمِنِيْنَ,And that you are my master and the master of the believers
,وَأَنَّكَ عَبْدُ اللَّهِ وَوَلِيُّهُ,And that you are the servant of Allah and His guardian
,وَأَخُوْ الرَّسُولِ وَوَصِيُّهُ وَوَارِثُهُ,And the brother of the Messenger and his successor and his inheritor
,وَأَنَّهُ الْقَائِلُ لَكَ,And that he is the one who said to you:
,وَالَّذِيْ بَعَثَنِيْ بِالْحَقِّ مَا آمَنَ بِيْ مَنْ كَفَرَ بِكَ,"""By Him Who sent me with the truth, no one has believed in me who disbelieves in you"
,وَلَا أَقَرَّ بِاللَّهِ مَنْ جَحَدَكَ,And no one has acknowledged Allah who denies you
,وَقَدْ ضَلَّ مَنْ صَدَّ عَنْكَ,"Indeed, those who turn away from you have gone astray"
,وَلَمْ يَهْتَدِ إِلَى اللَّهِ وَلَا إِلَيَّ مَنْ لَا يَهْتَدِيْ بِكَ,"And none can be guided to Allah or to me who is not guided by you"""
,وَهُوَ قَوْلُ رَبِّيْ عَزَّ وَجَلَّ,"And this is the saying of my Lord, Mighty and Majestic:"
,وَإِنِّيْ لَغَفَّارٌ لِمَنْ تَابَ وَ آمَنَ وَعَمِلَ صَالِحًا,"""And indeed, I am the Perpetual Forgiver of whoever repents and believes and does righteousness"
,ثُمَّ اهْتَدَىٰ إِلَى وِلايَتِكَ,"And then is guided"" to your guardianship"
,مَوْلَايَ فَضْلُكَ لَا يَخْفَىٰ,"My master, your excellence is not hidden"
,وَنُوْرُكَ لَا يُطْفَأُ,And your light cannot be extinguished
,وَأَنَّ مَنْ جَحَدَكَ الظَّلُومُ الْاَشْقَىٰ,And whoever denies you is the most unjust and wretched
,مَوْلَايَ أَنْتَ الْحُجَّةُ عَلَى الْعِبَادِ,"My master, you are the proof over the servants"
,وَالْهَادِيْ إِلَى الرَّشَادِ,And the guide to the right path
,وَالْعُدَّةُ لِلْمَعَادِ,And the provision for the Hereafter
,مَوْلَايَ لَقَدْ رَفَعَ اللَّهُ فِيْ الْأُوْلَى مَنْزِلَتَكَ,"My master, Allah has elevated your rank in this world"
,وَأَعْلَى فِيْ الْآخِرَةِ دَرَجَتَكَ,And raised your degree in the Hereafter
,وَبَصَّرَكَ مَا عَمِيَ عَلَى مَنْ خَالَفَكَ,And made clear to you what was obscure to those who opposed you
,وَحَالَ بَيْنَكَ وَبَيْنَ مَوَاهِبِ اللَّهِ لَكَ,And they stood between you and Allah's gifts to you
,فَلَعَنَ اللَّهُ مُسْتَحِلِّيْ الْحُرْمَةِ مِنْكَ,May Allah curse those who violated your sanctity
,وَذَائِدِيْ الْحَقِّ عَنْكَ,And those who diverted the truth from you
,وَأَشْهَدُ أَنَّهُمُ الْاَخْسَرُونَ,And I bear witness that they are the losers
,اَلَّذِيْنَ تَلْفَحُ وُجُوهَهُمُ النَّارُ,Those whose faces the Fire will scorch
,وَهُمْ فِيهَا كَالِحُونَ,And they will grimace therein
,وَأَشْهَدُ أَنَّكَ مَا أَقْدَمْتَ وَلَا أَحْجَمْتَ,And I bear witness that you never proceeded nor held back
,وَلَا نَطَقْتَ وَلَا أَمْسَكْتَ,Nor spoke nor remained silent
,إِلَّا بِأَمْرٍ مِنَ اللَّهِ وَرَسُولِهِ,Except by the command of Allah and His Messenger
,قُلْتَ وَالَّذِيْ نَفْسِيْ بِيَدِهِ,"You said: ""By Him in Whose Hand is my soul"
,لَقَدْ نَظَرَ إِلَيَّ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,"The Messenger of Allah, may Allah bless him and his family, looked at me"
,أَضْرِبُ بِالسَّيْفِ قُدْمًا فَقَالَ,"As I was striking with the sword bravely, and he said:"
,يَا عَلِيُّ أَنْتَ مِنِّيْ بِمَنْزِلَةِ هَارُونَ مِنْ مُوْسَى,"'O Ali, you are to me in the position of Aaron to Moses"
,إِلَّا أَنَّهُ لَا نَبِيَّ بَعْدِي,Except that there is no prophet after me
,وَأُعْلِمُكَ أَنَّ مَوْتَكَ وَحَيَاتَكَ مَعِيْ وَعَلَى سُنَّتِي,And I inform you that your death and your life will be with me and upon my Sunnah'
,فَوَاللَّهِ مَا كَذِبْتُ وَلَا كُذِّبْتُ,"By Allah, I have neither lied nor been lied to"
,وَلَا ضَلَلْتُ وَلَا ضُلِّ بِي,Neither have I gone astray nor been led astray
,وَلَا نَسِيتُ مَا عَهِدَ إِلَيَّ رَبِّي,Nor have I forgotten what my Lord covenanted with me
,وَإِنِّيْ لَعَلَى بَيِّنَةٍ مِنْ رَبِّيْ بَيَّنَهَا لِنَبِيِّهِ,"And indeed, I am upon clear evidence from my Lord which He made clear to His Prophet"
,وَبَيَّنَهَا النَّبِيُّ لِي,And the Prophet made clear to me
,وَإِنِّيْ لَعَلَى الطَّرِيقِ الْوَاضِحِ أَلْفِظُهُ لَفْظًا,"And indeed, I am upon the clear path, speaking it clearly"""
,صَدَقْتَ وَاللَّهِ وَقُلْتَ الْحَقَّ,"You spoke the truth, by Allah, and you said what is right"
,فَلَعَنَ اللَّهُ مَنْ سَاوَاكَ بِمَنْ نَاوَاكَ,May Allah curse those who equate your adversaries with you
,وَاللَّهُ جَلَّ اسْمُهُ يَقُولُ,"And Allah, exalted be His name, says:"
,هَلْ يَسْتَوِيْ الَّذِيْنَ يَعْلَمُوْنَ وَالَّذِيْنَ لَا يَعْلَمُون,"""Are those who know equal to those who do not know?"""
,فَلَعَنَ اللَّهُ مَنْ عَدَلَ بِكَ مَنْ فَرَضَ اللَّهُ عَلَيْهِ وِلايَتَكَ,May Allah curse those who equate with you those whom Allah has obligated to follow your guardianship
,وَأَنْتَ وَلِيُّ اللَّهِ,For you are the guardian of Allah
,وَأَخُوْ رَسُولِهِ,And the brother of His Messenger
,وَالذَّابُّ عَنْ دِينِهِ,And the defender of His religion
,وَالَّذِيْ نَطَقَ الْقُرْآنُ بِتَفْضِيلِهِ,And the one about whose excellence the Quran speaks
,قَالَ اللَّهُ تَعَالَىٰ,Allah the Exalted said:
,وَفَضَّلَ اللَّهُ الْمُجَاهِدِيْنَ عَلَى الْقَاعِدِيْنَ أَجْرًا عَظِيمًا,"""Allah has preferred the strivers with their wealth and their lives over those who sit back, by a great reward"
,دَرَجَاتٍ مِنْهُ وَمَغْفِرَةً وَرَحْمَةً,Degrees from Him and forgiveness and mercy
,وَكَانَ اللَّهُ غَفُورًا رَحِيمًا,"And Allah is Forgiving and Merciful"""
,وَقَالَ اللَّهُ تَعَالَىٰ,And Allah the Exalted said:
,أَجَعَلْتُمْ سِقَايَةَ الْحَاجِّ وَعِمَارَةَ الْمَسْجِدِ الْحَرَامِ,"""Do you consider providing water to pilgrims and maintaining the Sacred Mosque"
,كَمَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَجَاهَدَ فِيْ سَبِيلِ اللَّهِ,Equal to one who believes in Allah and the Last Day and strives in the way of Allah?
,لَا يَسْتَوُونَ عِنْدَ اللَّهِ,They are not equal in the sight of Allah
,وَاللَّهُ لَا يَهْدِيْ الْقَوْمَ الظَّالِمِيْنَ,And Allah does not guide the wrongdoing people
,اَلَّذِيْنَ آمَنُوْا وَهَاجَرُوْا,Those who have believed and emigrated
,وَجَاهَدُوْا فِيْ سَبِيلِ اللَّهِ بِأَمْوَالِهِمْ وَأَنْفُسِهِمْ,And strived in the cause of Allah with their wealth and their lives
,أَعْظَمُ دَرَجَةً عِنْدَ اللَّهِ,Are greater in rank in the sight of Allah
,وَأُولٰئِكَ هُمُ الْفَائِزُونَ,And it is those who are the attainers
,يُبَشِّرُهُمْ رَبُّهُمْ بِرَحْمَةٍ مِنْهُ وَرِضْوَانٍ,Their Lord gives them good tidings of mercy from Him and approval
,وَجَنَّاتٍ لَهُمْ فِيهَا نَعِيمٌ مُقِيمٌ,And of gardens for them wherein is enduring pleasure
,خَالِدِيْنَ فِيهَا أَبَدًا,Abiding therein forever
,إِنَّ اللَّهَ عِنْدَهُ أَجْرٌ عَظِيمٌ,"Indeed, Allah has with Him a great reward"""
,أَشْهَدُ أَنَّكَ الْمَخْصُوصُ بِمِدْحَةِ اللَّهِ,I bear witness that you are the one specially praised by Allah
,اَلْمُخْلِصُ لِطَاعَةِ اللَّهِ,The one sincere in obedience to Allah
,لَمْ تَبْغِ بِالْهُدَىٰ بَدَلًا,You never sought a substitute for guidance
,وَلَمْ تُشْرِكْ بِعِبَادَةِ رَبِّكَ أَحَدًا,And never associated anyone in the worship of your Lord
,وَأَنَّ اللَّهَ تَعَالَى اِسْتَجَابَ لِنَبِيِّهِ,And that Allah the Exalted answered His Prophet
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ فِيكَ دَعْوَتَهُ,"May Allah bless him and his family, regarding his supplication for you"
